date	open	high	low	close	volume
2017-08-31	117.9500000	119.2100000	117.3500000	117.9700000	41.020.210
2017-09-01	118.0200000	118.2600000	117.0400000	117.4000000	22.690.580
2017-09-04	117.0300000	117.6500000	116.5600000	117.0000000	15.938.500
2017-09-05	117.5500000	117.8900000	115.9000000	116.0000000	26.541.020
2017-09-06	116.0000000	117.5800000	115.6600000	117.1400000	24.387.110
2017-09-07	117.6100000	119.0300000	117.3800000	117.9500000	37.059.350
2017-09-08	118.2000000	120.4500000	118.1600000	120.3400000	41.825.350
2017-09-11	120.8100000	121.9400000	119.6300000	121.0000000	40.230.290
2017-09-12	121.2200000	122.0000000	120.1600000	121.9900000	27.228.360
2017-09-13	121.9900000	124.3800000	121.9900000	123.5500000	51.210.280
2017-09-14	123.5700000	124.1900000	122.7900000	123.3300000	29.452.320
2017-09-15	122.8900000	123.0000000	121.5900000	122.5000000	41.826.920
2017-09-18	122.5000000	123.3500000	122.0700000	122.7200000	26.878.140
2017-09-19	122.7200000	122.8000000	121.0500000	121.7500000	32.095.850
2017-09-20	121.8800000	122.4300000	121.5200000	122.2500000	25.978.430
2017-09-21	122.1100000	123.2000000	121.6100000	122.3400000	35.204.520
2017-09-22	122.3600000	122.4600000	121.3000000	121.9500000	19.164.830
2017-09-25	121.9800000	123.6000000	121.9000000	123.0300000	28.206.840
2017-09-26	123.2700000	124.1900000	122.8400000	123.0300000	25.695.940
2017-09-27	123.1800000	123.6800000	122.4600000	123.3600000	22.485.510
2017-09-28	123.2800000	123.6200000	122.1100000	122.5000000	22.610.060
2017-09-29	122.5000000	122.8100000	121.7000000	122.2000000	17.182.380
2017-10-02	122.2900000	122.4400000	121.4000000	121.9000000	14.198.990
2017-10-03	121.8100000	122.1100000	120.4700000	120.7800000	26.873.740
2017-10-04	120.6800000	121.9500000	119.7000000	121.7600000	24.254.160
2017-10-05	121.7900000	123.9700000	121.5100000	123.5000000	39.979.330
2017-10-06	123.5400000	124.4800000	123.2700000	123.4700000	30.270.700
2017-10-09	123.7000000	124.9000000	123.4100000	124.8100000	22.035.180
2017-10-10	125.0000000	125.3300000	124.1700000	124.4400000	20.064.040
2017-10-11	124.5400000	126.0000000	124.3800000	126.0000000	30.323.720
2017-10-12	126.0400000	126.7900000	125.4500000	125.9300000	18.051.060
2017-10-13	126.0000000	127.3900000	125.8000000	126.8600000	23.707.840
